O3factor0.0,O3factor0.05,O3factor0.25,O3factor0.5,O3factor0.75,O3factor1.0,O3factor1.25,O3factor1.5,O3factor1.75,O3factor2.0,O3factor2.5,O3factor3.0,O3factor3.5,O3factor4.0,O3factor4.5,O3factor5.0,O3factor6.0,O3factor7.0,O3factor8.0,O3factor10.0
223.30475641211794,223.21152068744814,223.27797502400438,223.3741571385769,223.426868683822,223.29999999999995,223.33919398965813,223.3155445274126,223.24121760963405,223.2686122341595,223.47980807438563,223.52968126522012,223.57635563493793,223.26601672806126,223.29947900089513,223.33339562690355,223.38986728967504,223.44245960991415,223.4888477463258,223.57210442804327
216.75544376846895,216.71464925151466,216.65603644883575,216.80276197644406,216.86964165069872,216.79999999999995,216.84873712992407,216.85046659841225,216.80589885163334,216.84929587017172,216.88092429214228,216.93515463883838,216.98364752875997,216.7676405060408,216.80697803367852,216.8429546231679,216.90962235663514,216.96833595137878,217.02117601646137,217.11407299764875
216.65780413137915,216.64985483750533,216.37375332992372,216.64796982011512,216.72583394012526,216.69999999999996,216.75527407144423,216.7699863664543,216.74608278119433,216.7834710898662,216.56452161003983,216.62232945956885,216.67435321711483,216.52971769416527,216.57113347003204,216.6095492521404,216.6788810352986,216.740780952898,216.79644394711642,216.89272839099797
216.79517081235815,216.81556883005803,216.7335552031336,216.5995791417699,216.69232652053904,216.69999999999996,216.7617480497731,216.79075339639166,216.78631522423328,216.82700564741154,216.74929838528632,216.80921675769233,216.8624320345524,216.7684134409456,216.81134669200713,216.85132368138446,216.9238381915312,216.98886211850268,217.04764991452035,217.15043927311464
216.49044644379862,216.53379287928735,216.55096644090656,216.57390083878428,216.6747550421093,216.7,216.76342871860308,216.79863679678263,216.8043625266736,216.84528008009877,216.8177367898543,216.87823392051214,216.9322402283938,216.86874681481274,216.913188572071,216.95473742196253,217.0303404228946,217.09813562518926,217.15936145007132,217.26618666070988
216.33245549509581,216.39588621960198,216.48101205654666,216.5606898889702,216.66523941186983,216.69999999999996,216.76302763076424,216.80131352166066,216.81353518358944,216.85455563351817,216.85343198487047,216.91556781803536,216.97143180034553,216.92934999816774,216.9757778022183,217.0191329086055,217.09777540629014,217.16788435173845,217.2308949838248,217.3402628356406
216.22934917204387,216.3116522016122,216.44920875355086,216.55694260961056,216.6607842769207,216.7,216.7615611329021,216.8016384825406,216.81881322333976,216.8603611965029,216.8764006575361,216.94067244510708,216.99847034237658,216.97202104919862,217.019859958916,217.0643109226738,217.14445121180592,217.21541670816833,217.27894063280516,217.38887528217447
216.15829703691477,216.25891534523186,216.43803969790156,216.55902858703743,216.6588968019113,216.70000000000002,216.76011540197834,216.80178760187155,216.82331439279602,216.8657207136079,216.89399299648738,216.95986920088126,217.01871719356345,217.00365524586323,217.0518268547561,217.09635834291538,217.17627033417702,217.246790997198,217.30987914554296,217.41921220445624
216.11499803332381,216.2325472067271,216.44109512673995,216.5643769047211,216.65816123801568,216.70000000000002,216.7588462808631,216.8017080087124,216.82657629387685,216.8692696389547,216.9052582037406,216.97088125893066,217.0290106442859,217.02167655948585,217.06883502227888,217.11233320360543,217.190377504825,217.25940101131346,217.32137775733563,217.4293241562838
216.09791498152933,216.2297109705072,216.45342150908752,216.57089642073834,216.6580112308173,216.70000000000002,216.75694091176806,216.79948477913658,216.82562871213113,216.86688800393767,216.90562220928192,216.9682270632875,217.0234492786895,217.0208021245596,217.06563925530543,217.1071078081674,217.18193822974467,217.24862741844638,217.30887590129956,217.41426642776634
216.1022059461461,216.2451979214187,216.47036376638724,216.57765141309363,216.65875930682955,216.69999999999996,216.75344825089846,216.79332698295394,216.8181097348586,216.85585574075253,216.8927761086543,216.94998511586954,217.00072005168985,217.00059854531813,217.04247143900685,217.0815136903931,217.1527042315664,217.21676001686834,217.2748849278115,217.37640840050065
217.0395933848183,217.188227351852,217.3982992214031,217.4904795533807,217.56335228433406,217.59999999999997,217.6457630210706,217.6787388623711,217.69818526128574,217.72912888203112,217.75834161001893,217.80635424029396,217.84979721531215,217.84939846757192,217.88648446752686,217.92146095528506,217.98588311883057,218.04409430015997,218.0967267555103,218.18739244430037
218.1029012674848,218.25157389852802,218.43448015418932,218.50917023325277,218.57152255832042,218.59999999999997,218.6348402699046,218.6579075745772,218.66927664726248,218.69132858366615,218.70901723115352,218.7456257155659,218.78018632186203,218.77752562495817,218.80869461129333,218.83849801896812,218.89381186144024,218.94363727956775,218.9881369894645,219.06281323862717
219.17978032183467,219.32447493813638,219.4748263273504,219.53160487994415,219.5818557131843,219.6,219.6225363949643,219.63458389802935,219.6368815157183,219.64953707742123,219.65443078116758,219.67918608629193,219.70446068834008,219.69828677117684,219.72300260520868,219.74701355208452,219.7917866510204,219.8316699960655,219.86648274471614,219.92232516914052
220.2672791530857,220.40404015382052,220.52002191528285,220.5578031674373,220.59385091426986,220.6,220.60971164675271,220.61059087244266,220.60373374219765,220.60722614944703,220.59906033391692,220.611711961745,220.6269914405826,220.61555885244888,220.63262283225748,220.64958837439568,220.68141646998114,220.70927492096013,220.73266306335233,220.7670069552941
221.36517482975722,221.4888974850129,221.57057483196184,221.58725570921516,221.60666020809973,221.6,221.59736036417902,221.58801340731486,221.57300630535227,221.56836249363047,221.54829360522695,221.54921029275266,221.5540480501349,221.53609704565733,221.54429810047256,221.55294425560695,221.56949520417288,221.58353971004306,221.59427396030256,221.60593910599349
222.42727450678404,222.53395105390314,222.58423921782057,222.57844180301925,222.57952189278382,222.55999999999997,222.54609493914427,222.52779955397142,222.50571802744568,222.49386918223163,222.46258017423722,222.45158314504093,222.4450271769409,222.41879094207255,222.4164858153807,222.41510886727102,222.4131617545737,222.41069705332885,222.40669016576317,222.39310982883265
223.49142851568251,223.57810198507443,223.600540422116,223.57124566282855,223.55246199128877,223.51999999999998,223.49584790338332,223.46976580882705,223.441509873278,223.4231744065298,223.38098274761748,223.35775190765693,223.3389481803945,223.3028855960189,223.28865641852394,223.27569285332441,223.25189880955108,223.22954540801175,223.2075975640275,223.16329786645838
224.5795033946465,224.6440366562479,224.64118829287474,224.58733924096825,224.54654614842013,224.5,224.46560005701565,224.43201616339553,224.39775194433187,224.3730791680473,224.31940889950275,224.28309941897706,224.2509488544475,224.20340161361244,224.175939031659,224.1499955966774,224.10131607637186,224.0557730564914,224.01245659163013,223.93070359173146
225.69109215625573,225.7302840790407,225.70328465139582,225.62583023042382,225.56169903651409,225.5,225.45506706325344,225.41407975998652,225.37400220495553,225.343242806365,225.27813435086253,225.22849213317514,225.1824690795033,225.12256092054352,225.0811317888312,225.0414273316569,224.9661468257632,224.89546573380977,224.82860960318237,224.7046326717502
226.80688020857835,226.8171128324825,226.76466842002523,226.66614886658905,226.5781661144918,226.5,226.44350478294336,226.39443012286506,226.34813196478262,226.31115323507964,226.23451890047866,226.17157837454664,226.11154673242407,226.03878668744053,225.98292242479513,225.92889502125368,225.82573388472701,225.72850252996247,225.63656157278322,225.46681697132985
228.33770769259976,228.3142927461503,228.2291566256266,228.11083580583676,227.99765535788148,227.9,227.82877650334493,227.7687018720179,227.71366902901968,227.66848816146276,227.57729150823923,227.49903476405993,227.4233387889844,227.33592133680852,227.2639882718091,227.19392990543705,227.05931976251327,226.93192911320227,226.8113632660803,226.5890111590469
